ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0002377,immunoglobulin production,15/488,84/11099,3.22101686533366e-06,7.82046889850266e-05,5.27324369453775e-05,Il2/Hspd1/Gpi1/Traf6/Xbp1/Ptprc/Ccr6/Cd28/Tnfsf4/Itm2a/Foxp1/Tnf/Foxp3/Pou2f2/H2-T23,15
GO:0045860,positive regulation of protein kinase activity,29/488,265/11099,5.35257634978961e-06,0.000120248396271998,8.10819793095777e-05,Cdkn1a/Ncf1/Traf6/Pim1/Sdc4/Atp2b4/Psrc1/Tnfsf11/Ptprc/Il3/Map2k1/Cyr61/Eif2ak2/Arrb1/Cdkn1b/Ptk2b/Cd81/Avpi1/Ptpn1/Il6ra/Vegfa/Tnf/Maged1/Cab39/Snx9/Higd1a/Tead1/Npm1/Cd4,29
GO:0014706,striated muscle tissue development,26/488,225/11099,6.15401899968667e-06,0.000135146406009973,9.11275196641953e-05,Mbnl1/Fdps/Pim1/Btg2/Pten/Egln1/Bcl2/Lmna/Myh10/Rxra/Rbpj/Plagl1/Skil/Nr4a1/Egr1/Hivep3/Vegfa/Foxp1/Gpx1/Ly6e/Zbtb18/Ybx3/Tpm1/Egr2/Hdac7/Wisp1,26
GO:0010243,response to organonitrogen compound,36/488,371/11099,6.57749814255187e-06,0.000143639330945448,9.68541919961769e-05,CYTB/Gpi1/Crem/Socs2/Stat1/Prnp/Xbp1/Cad/Dnmt3a/Atp2b4/Mdm2/Cish/Bcl2/Stat3/Hmgcs1/Ybx1/Capn2/Nr4a1/Kynu/Egr1/Eif4ebp1/Ptpn1/Fam132a/Sesn2/Nr4a2/Tnf/Zeb1/Pik3r1/Stat5b/Mgarp/Mapk3/Irs2/Gatm/Itpr1/Egr2/Rragd,36
GO:0040017,positive regulation of locomotion,31/488,298/11099,7.25451912661448e-06,0.000156646968358685,0.000105625078097817,Tmsb4x/Furin/Hif1a/Xbp1/Mdm2/Ccl4/Bcl2/Ptprc/Ccr4/Map2k1/Cyr61/Itga3/Ccr6/Ets1/Prex1/Ptk2b/Egr1/Tnfsf4/Vegfa/Thy1/Cpne3/Flna/Fn1/Calr/Atp5a1/Pik3r1/Tnfrsf18/Vps37b/Mapk3/Irs2/Hdac7,31
GO:0016049,cell growth,33/488,332/11099,9.71322400058641e-06,0.000196730531700996,0.000132652920084365,Serpine2/Fdps/Cdkn1a/Eif4g2/Socs2/Nrn1/Zmat3/Xbp1/Cd44/Il9/Psrc1/Ei24/Bcl2/Il3/Jade2/Cyr61/Cdkn1b/Plxna1/Ptk2b/Cd81/Il6ra/Vegfa/Ppan/Sesn2/Dclk1/Foxp1/Fn1/Cadm1/Ncoa3/Kdm2b/Inhba/Npm1/Wisp1,33
GO:0040008,regulation of growth,39/488,425/11099,1.02187298068359e-05,0.000203801095994498,0.000137420512547353,Scd1/Serpine2/Fdps/Lta/Cdkn1a/Eif4g2/Socs2/Hif1a/Pim1/Pten/Zmat3/Cd44/Cish/Il9/Psrc1/Ei24/Bcl2/Stat3/Il3/Rbpj/Cyr61/Cdkn1b/Plxna1/Ptk2b/Irf8/Cd81/Vegfa/Ppan/Sesn2/Foxp1/Fn1/Dusp6/Tnf/Ncoa3/Kdm2b/Stat5b/Ybx3/Inhba/Wisp1,39
GO:1901699,cellular response to nitrogen compound,32/488,320/11099,1.17239014993543e-05,0.000229656025270313,0.000154854165765067,Socs2/Stat1/Xbp1/Dnmt3a/Atp2b4/Mdm2/Cish/Stat3/Ybx1/Capn2/Map2k1/Nr4a1/Egr1/Eif4ebp1/Ptpn1/Tnfsf4/Fam132a/Zc3hav1/Sesn2/Nr4a2/Tnf/Zeb1/Ly6e/Pik3r1/Stat5b/Mgarp/Mapk3/Irs2/Itpr1/Npm1/Hnrnpa2b1/Rragd,32
GO:0051347,positive regulation of transferase activity,34/488,356/11099,1.66904868930257e-05,0.000319819182670772,0.000215650047369125,Cdkn1a/Ncf1/Traf6/Pim1/Sdc4/Pten/Atp2b4/Cd44/Psrc1/Tnfsf11/Serinc5/Ptprc/Il3/Map2k1/Cyr61/Eif2ak2/Arrb1/Cdkn1b/Ptk2b/Cd81/Avpi1/Ptpn1/Il6ra/Vegfa/Tnf/Maged1/Cab39/Snx9/Mapk3/Higd1a/Tead1/Npm1/Cd4/Hnrnpa2b1,34
GO:0048729,tissue morphogenesis,33/488,343/11099,1.91314718264972e-05,0.000357822599855395,0.000241275272996973,Gpi1/Traf6/Hif1a/Lif/Sdc4/Pten/Cd44/Mdm2/Egln1/Bcl2/Nfatc1/Rxra/Rbpj/Cyr61/Plxna1/B4galt1/Clic4/Mthfd1l/Vegfa/Flna/Mthfd1/Tgm2/Tnf/Maged1/Ly6e/Ncoa3/Kdm2b/Runx3/Inhba/Tpm1/Phb2/Tead1/Apaf1,33
GO:1901615,organic hydroxy compound metabolic process,25/488,226/11099,1.98293796900097e-05,0.000367360403830559,0.00024770649410718,Fdps/Tpi1/Slco4a1/Hif1a/Pten/Bcl2/Stard4/Hmgcs1/Lss/Ptk2b/Galk1/Tnfsf4/Nsdhl/Plek/Mvd/Nr4a2/Impa2/Tnf/Sqle/Ly6e/Ldha/Slc37a4/Ephx1/Gfi1/Hsd17b7,25
GO:0002683,negative regulation of immune system process,27/488,256/11099,2.21118964409456e-05,0.000403903753213348,0.00027234721440299,Il2/Ctla4/Irf4/Tnfrsf13b/Il2ra/Trim30a/Prnp/Sdc4/Pdcd1/Cd44/Ptprc/Il3/Ptk2b/Tnfsf4/Thy1/Spn/Gpx1/Tnf/Nfkbid/Pik3r1/Foxp3/Stat5b/Slfn1/Lrrc32/H2-T23/Btla/Vsir,27
GO:0051402,neuron apoptotic process,22/488,190/11099,3.07976559796338e-05,0.000537446594751734,0.000362393470737796,Gapdh/Bnip3/Hspd1/Gpi1/Ccl3/Hif1a/Btg2/Prnp/Fam162a/Bcl2/Egln3/Bax/Set/Ptk2b/Egr1/Vegfa/Nr4a2/Gpx1/Tnf/Kdm2b/Npm1/Apaf1,22
GO:0045136,development of secondary sexual characteristics,5/488,10/11099,3.37646205835694e-05,0.000574925924813339,0.00038766531101846,Bax/B4galt1/Ncoa3/Stat5b/Phb2,5
GO:1901617,organic hydroxy compound biosynthetic process,15/488,102/11099,3.66193730775217e-05,0.000616115486546367,0.000415438913791951,Fdps/Stard4/Hmgcs1/Lss/Ptk2b/Nsdhl/Plek/Mvd/Nr4a2/Tnf/Sqle/Ldha/Ephx1/Gfi1/Hsd17b7,15
GO:0018108,peptidyl-tyrosine phosphorylation,21/488,179/11099,3.82313301326779e-05,0.000638659271318966,0.000430639903968626,Il2/Ncf1/Prnp/Hk1/Lif/Grap/Cd44/Il12rb2/Ptprc/Il3/Ptk2b/Cd81/Ptpn1/Il6ra/Vegfa/Tnfrsf18/Itgb2/Mapk3/Clk1/Grap2/Cd4,21
GO:2000378,negative regulation of reactive oxygen species metabolic process,9/488,40/11099,4.6063829388866e-05,0.000734953098290111,0.000495569618860238,Bnip3/Hspd1/Hif1a/Trim30a/Atp2b4/Bcl2/Stat3/Hk2/Tspo,9
GO:0006694,steroid biosynthetic process,13/488,81/11099,4.73882115499825e-05,0.000749961615177658,0.000505689672794188,Fdps/Stard4/Hmgcs1/Lss/Egr1/Nsdhl/Mvd/Tspo/Tnf/Sqle/Atp1a1/Gfi1/Hsd17b7,13
GO:0030278,regulation of ossification,16/488,117/11099,5.06032891665468e-05,0.000797613940935611,0.000537821035963638,Id3/Hif1a/Bcl2/Lmna/Nfatc1/Rbpj/Cyr61/Ptk2b/Vegfa/Bmp2k/Isg15/Tnf/Mapk3/Srgn/Egr2/Hdac7,16
GO:0042089,cytokine biosynthetic process,12/488,71/11099,5.47021067711715e-05,0.000845179981693713,0.000569894218244283,Ltb/Irf4/Traf6/Il9/Egr1/Cd28/Irf7/Spn/Il17f/Tnf/Foxp3/Stat5b,12
GO:0043650,dicarboxylic acid biosynthetic process,5/488,11/11099,5.96673611076798e-05,0.000918266592794963,0.00061917559972495,Glud1/Kynu/Mthfd1l/Mthfd1/Gls2,5
GO:0050900,leukocyte migration,19/488,158/11099,6.33504581826009e-05,0.000948800540367,0.000639764256056595,Ccl3/Ccl4/Myo1g/Tnfsf11/Selplg/Ccr6/Prex1/Ptk2b/B4galt1/Tnfsf4/Vegfa/Thy1/Tnf/Calr/Tnfrsf18/Itgb2/Slc37a4/Stat5b/Mapk3,19
GO:0043900,regulation of multi-organism process,25/488,243/11099,6.69069192126429e-05,0.000998241019855805,0.000673101348768412,Scd1/Anxa2/Lta/Il2ra/Traf6/Stat1/Trim30a/Lgals1/Ccl4/Bcl2/Eif2ak2/B4galt1/Irf8/Trim25/Oas3/Zc3hav1/Isg15/Spn/Tardbp/Tnf/Calr/Vps37b/Mapk3/Inhba/Cd4,25
GO:0042108,positive regulation of cytokine biosynthetic process,9/488,42/11099,6.94544336901214e-05,0.00102451841997994,0.000690819868758943,Ltb/Irf4/Traf6/Il9/Egr1/Cd28/Spn/Tnf/Stat5b,9
GO:0006575,cellular modified amino acid metabolic process,14/488,96/11099,7.27748488088173e-05,0.00106485574590464,0.000718018819659144,Ero1l/Slco4a1/P4ha1/Egln1/Egln3/Serinc5/Gart/Mthfd1l/Mthfd1/Gpx1/Stat5b/Gatm/P4ha2/Mthfd2,14
GO:0001558,regulation of cell growth,26/488,260/11099,7.74402928185032e-05,0.00111702621633775,0.000753196710885733,Serpine2/Fdps/Cdkn1a/Eif4g2/Socs2/Zmat3/Cd44/Il9/Psrc1/Ei24/Bcl2/Il3/Cyr61/Cdkn1b/Plxna1/Ptk2b/Cd81/Vegfa/Ppan/Sesn2/Foxp1/Fn1/Ncoa3/Kdm2b/Inhba/Wisp1,26
GO:0031329,regulation of cellular catabolic process,36/488,419/11099,8.97085314749931e-05,0.00125688404851523,0.000847501085883353,Rnf19b/Bnip3/Trp53inp1/Furin/Bnip3l/Anxa2/Eif4g2/Hif1a/Btg2/Pten/Xbp1/Atp2b4/Mdm2/Egln1/Bcl2/Pgam1/Il3/Bax/Ptk2b/Plk2/Cd81/Cst3/Hk2/Ptpn1/Zc3hav1/Sesn2/Tspo/Gpx1/Tnf/Snx9/Mapk3/Irs2/Rnf114/Apaf1/Ppp1r3b/Plk3,36
GO:0009611,response to wounding,25/488,249/11099,9.93986479377112e-05,0.00137783444960466,0.000929056418200929,Serpine2/Anxa2/Hif1a/Fam46a/Sdc4/Ap3b1/Pten/Xbp1/Cd44/Rab27a/Bcl2/Myh10/Map2k1/Bax/Cyr61/B4galt1/Myl12b/Lcp1/Plek/Flna/Fn1/Gpx1/Cnn2/Lbh/Tpm1,25
GO:0071417,cellular response to organonitrogen compound,26/488,264/11099,9.97567568742375e-05,0.00137791223541129,0.000929108868190778,Socs2/Stat1/Xbp1/Dnmt3a/Atp2b4/Mdm2/Cish/Stat3/Ybx1/Capn2/Nr4a1/Egr1/Eif4ebp1/Ptpn1/Fam132a/Sesn2/Nr4a2/Tnf/Zeb1/Pik3r1/Stat5b/Mgarp/Mapk3/Irs2/Itpr1/Rragd,26
GO:0007204,positive regulation of cytosolic calcium ion concentration,16/488,124/11099,0.000102911810038526,0.00140246832378282,0.000945666729343131,Il2/Ero1l/P2ry10/Ccl3/Prnp/Ccr8/Bcl2/Ptprc/Bax/Ccr6/Ptk2b/Thy1/Tgm2/Itpr1/Cacnb3/Cd4,16
GO:0009636,response to toxic substance,10/488,54/11099,0.000102969662042893,0.00140246832378282,0.000945666729343131,Hif1a/Ccl4/Bcl2/Bax/Eif2ak2/Nr4a2/Gpx1/Tnf/Mapk3/Ephx1,10
GO:0030855,epithelial cell differentiation,27/488,281/11099,0.000111797790381057,0.00149663548835463,0.00100916246256008,Abcb1b/Vim/Id3/Hif1a/Lif/Xbp1/Rxra/Rbpj/Map2k1/Skil/Cdkn1b/Plaur/B4galt1/Clic4/Vegfa/Add1/Wdr77/Foxp1/Gpx1/Tnf/Zeb1/Ncoa3/Slc4a7/Irf6/Stat5b/S1pr3/Gfi1,27
GO:0044057,regulation of system process,23/488,222/11099,0.00011695379380011,0.00156031528998167,0.00105210095087291,Il2/Fdps/Ncf1/Hif1a/Lif/Pten/Atp2b4/Mdm2/Ece1/Nfatc1/Acat2/Map2k1/Wnk1/Nlgn2/Flna/Foxp1/Tnf/Pik3r1/Atp1a1/Inhba/Tpm1/Tead1/Wisp1,23
GO:0046165,alcohol biosynthetic process,11/488,66/11099,0.000126944991158146,0.00165962531918794,0.00111906445294842,Fdps/Hmgcs1/Lss/Ptk2b/Nsdhl/Plek/Mvd/Tnf/Ephx1/Gfi1/Hsd17b7,11
GO:0044843,cell cycle G1/S phase transition,18/488,155/11099,0.000154155909616621,0.00197950910540503,0.00133475806167527,Cdkn1a/Pim1/Pten/Atp2b4/Mdm2/Bcl2/Nfatc1/Rpl17/Cdkn1b/Plk2/Eif4ebp1/Gigyf2/Pidd1/Rcc1/Inhba/Phb2/Slfn1/Plk3,18
GO:0032844,regulation of homeostatic process,29/488,318/11099,0.000157792018771962,0.00200442001929085,0.00135155517720356,Il2/Ero1l/Il2ra/Hif1a/Prnp/Cd44/Bcl2/Tnfsf11/Ptprc/Il3/Bax/Arrb1/Ets1/Ptk2b/Tnfsf4/Vegfa/Fam132a/Thy1/Isg15/Tspo/Tnf/Rora/Nat10/Stat5b/Mapk3/Itpr1/Inhba/Cd4/Hnrnpa2b1,29
GO:1901522,positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus,6/488,20/11099,0.000160238521083987,0.00200536840632347,0.00135219466263655,Hif1a/Xbp1/Rxra/Rbpj/Vegfa/Sesn2,6
GO:0071496,cellular response to external stimulus,17/488,142/11099,0.000161086129338851,0.00200536840632347,0.00135219466263655,Cdkn1a/Slc2a1/Pim1/Xbp1/Bcl2/Mybbp1a/Eif2ak2/Ppan/Nr4a2/Cnn2/Asns/Atp1a1/Ldha/Mapk3/Higd1a/Tnrc6a/Rragd,17
GO:0055082,cellular chemical homeostasis,33/488,383/11099,0.000166972288275879,0.00205249897757991,0.00138397421331613,Il2/Bnip3/Ero1l/P2ry10/Ccl3/Hif1a/Prnp/Hk1/Xbp1/Atp2b4/Egln1/Ccr8/Bcl2/Ptprc/Bax/Arrb1/Ccr6/Ptk2b/Hk2/Clic4/Fam132a/Thy1/Rap1gds1/Tgm2/Sesn2/Gpx1/Pik3r1/Atp1a1/Slc4a7/Slc37a4/Itpr1/Cacnb3/Cd4,33
GO:0051235,maintenance of location,20/488,186/11099,0.000195499195819004,0.00237331166601394,0.00160029416911012,Scin/Ero1l/Hk1/Stard4/Ptprc/Bax/Ikbke/Ptk2b/Hilpda/Hk2/B4galnt1/Thy1/Flna/Tspo/Tnf/Stat5b/Itpr1/Srgn/Cd4/Tnrc6a,20
GO:2000106,regulation of leukocyte apoptotic process,11/488,70/11099,0.000218244397090368,0.00257739380128776,0.00173790418290438,Il2/Hif1a/Pten/Pdcd1/Cd44/Il3/Bax/Tnfsf4/Nfkbid/Irs2/St6gal1,11
GO:0042330,taxis,24/488,247/11099,0.000224973699419569,0.002648862021178,0.00178609430357198,Ccl3/Ccl4/Ccr8/Tnfsf11/Myh10/Ccr4/Nr4a1/Cyr61/Ccr6/Plxna1/Prex1/Ptk2b/Nlgn2/Vegfa/Foxp1/Fn1/Calr/Itgb2/Slc37a4/Mapk3/Runx3/St6gal1/Egr2/Cmtm6,24
GO:0048291,isotype switching to IgG isotypes,5/488,14/11099,0.000231612626635553,0.00268656901340765,0.00181151965358559,Il2/Hspd1/Ptprc/Cd28/Foxp3,5
GO:0045862,positive regulation of proteolysis,22/488,218/11099,0.000238869648707122,0.00275439957756974,0.00185725694880495,Rnf19b/Hspd1/Stat1/Pten/Xbp1/Mdm2/Perp/Fam162a/Stat3/Bax/Cyr61/Arrb1/Cdkn1b/Ptk2b/Plk2/Tnf/Pidd1/Snx9/Mapk3/Rnf114/Apaf1/Plk3,22
GO:0055074,calcium ion homeostasis,21/488,204/11099,0.000250620791595052,0.00286455167937151,0.00193153112389661,Il2/Bnip3/Ero1l/P2ry10/Ccl3/Prnp/Atp2b4/Ccr8/Bcl2/Tnfsf11/Ptprc/Bax/Ccr6/Ptk2b/Thy1/Rap1gds1/Tgm2/Slc37a4/Itpr1/Cacnb3/Cd4,21
GO:0009991,response to extracellular stimulus,20/488,190/11099,0.000260186275579446,0.00295659346290713,0.00199359373944594,Cdkn1a/Slc2a1/Pim1/Stat1/Xbp1/Cad/Bcl2/Mybbp1a/Eif2ak2/Kynu/Eif4ebp1/Ppan/Nr4a2/Asns/Ldha/Mapk3/Gatm/Higd1a/Tnrc6a/Rragd,20
GO:0031589,cell-substrate adhesion,19/488,177/11099,0.000286864401783089,0.00321304569217792,0.00216651624812202,Sdc4/Pten/Lgals1/Myo1g/Bcl2/Cyr61/Itga3/Plekha2/Prex1/Ptk2b/Nid1/Vegfa/Thy1/Flna/Fn1/Calr/Pik3r1/Itgb2/St6gal1,19
GO:1902532,negative regulation of intracellular signal transduction,31/488,362/11099,0.000292035066717542,0.0032616145022825,0.00219926558514504,Serpine2/Socs2/Hif1a/Stat1/Ndrg2/Prnp/Lif/Pten/Xbp1/Atp2b4/Cd44/Mdm2/Cish/Egln1/Bcl2/Arrb1/Itga3/Phlda3/Prex1/Plaur/Dusp4/Ptpn1/Sesn2/Gpx1/Dusp6/Nfkbid/Rora/Ybx3/Itpr1/Rasa3/Hdac7,31
GO:0010720,positive regulation of cell development,30/488,348/11099,0.000325692403030446,0.00358628620689018,0.00241818762694807,Il2/Serpine2/Fdps/Lta/Vim/Eif4g2/Socs2/Hif1a/Lif/Atxn1/Bcl2/Tnfsf11/Jade2/Map2k1/Skil/Itga3/Prex1/Ptk2b/Nlgn2/Vegfa/Add1/Flna/Enc1/Fn1/Prpf19/Tspo/Calr/Zeb1/Zmynd8/Wisp1,30
GO:0017148,negative regulation of translation,15/488,125/11099,0.000376464485175327,0.00402076413265123,0.00271115062087724,Gapdh/Btg2/Mov10/Ncl/Stat3/Map2k1/Eif2ak2/Eif4ebp1/Eif4enif1/Sesn2/Enc1/Gigyf2/Calr/Tnrc6a/Hnrnpa2b1,15
GO:0031668,cellular response to extracellular stimulus,15/488,128/11099,0.000486508088123903,0.00492683967999051,0.00332210595217413,Cdkn1a/Slc2a1/Pim1/Xbp1/Bcl2/Mybbp1a/Eif2ak2/Ppan/Nr4a2/Asns/Ldha/Mapk3/Higd1a/Tnrc6a/Rragd,15
GO:2000134,negative regulation of G1/S transition of mitotic cell cycle,8/488,43/11099,0.000490882115732659,0.00495828989767174,0.00334331243790175,Cdkn1a/Pten/Mdm2/Bcl2/Gigyf2/Pidd1/Slfn1/Plk3,8
GO:1904951,positive regulation of establishment of protein localization,30/488,358/11099,0.000524504050377232,0.00525714444339641,0.00354482629458729,Il2/Cd2/Glud1/Hspd1/Gpi1/Ccl3/Hif1a/Prnp/Ncl/Xbp1/Mdm2/Ptp4a3/Arrb1/Itga3/Nlgn2/Pck2/Tnfsf4/Fam132a/Flna/Il17f/Il18r1/Tnf/Cadm1/Pik3r1/Mapk3/Irs2/Acsl3/H2-T23/Plk3/Gls2,30
GO:0006066,alcohol metabolic process,17/488,157/11099,0.000534333135553668,0.00534196477462733,0.00360201957578782,Fdps/Tpi1/Pten/Hmgcs1/Lss/Ptk2b/Galk1/Tnfsf4/Nsdhl/Plek/Mvd/Impa2/Tnf/Sqle/Ephx1/Gfi1/Hsd17b7,17
GO:0001701,in utero embryonic development,26/488,294/11099,0.000547930451290893,0.00546392891351046,0.00368425845873361,Mbnl1/Gpi1/Hif1a/Lif/Egln1/Myh10/Ybx1/Rxra/Rbpj/Capn2/Map2k1/Skil/Cyr61/Nsdhl/Vegfa/Add1/Foxp1/Prpf19/Inpp5b/Eno1/Rpl7l1/Ly6e/Ncoa3/Zbtb18/Ybx3/Tpm1,26
GO:0048708,astrocyte differentiation,7/488,34/11099,0.000581674188151602,0.00568441100371153,0.0038329267556095,Serpine2/Vim/Lif/Stat3/Map2k1/Prpf19/Mapk3,7
GO:0030850,prostate gland development,6/488,25/11099,0.000607050959190459,0.00585916592463087,0.00395076179808423,Pten/Cd44/Rxra/Cdkn1b/Plaur/Wdr77,6
GO:0034249,negative regulation of cellular amide metabolic process,15/488,132/11099,0.000675162247980262,0.00632755325219648,0.0042665894746267,Gapdh/Btg2/Mov10/Ncl/Stat3/Map2k1/Eif2ak2/Eif4ebp1/Eif4enif1/Sesn2/Enc1/Gigyf2/Calr/Tnrc6a/Hnrnpa2b1,15
GO:0010332,response to gamma radiation,8/488,45/11099,0.000675552981093327,0.00632755325219648,0.0042665894746267,Cdkn1a/Mdm2/Bcl2/Ptprc/Bax/Ddias/Egr1/Gpx1,8
GO:0090277,positive regulation of peptide hormone secretion,9/488,56/11099,0.000683213716221415,0.00635876765883217,0.0042876369559359,Glud1/Hif1a/Lif/Tnfsf11/Arrb1/Nlgn2/Pck2/Fam132a/Irs2,9
GO:0060420,regulation of heart growth,7/488,35/11099,0.000699956877300272,0.00645314017303482,0.00435127115382294,Fdps/Pim1/Pten/Rbpj/Foxp1/Dusp6/Wisp1,7
GO:0071216,cellular response to biotic stimulus,14/488,119/11099,0.000714417309001012,0.00655553347625577,0.00442031366873866,Il2/Cd6/Traf6/Stat1/Ncl/Xbp1/Irf8/Tnfsf4/Pdcd4/Prpf8/Tnf/Mapk3/Gbp2/Gfi1,14
GO:0090287,regulation of cellular response to growth factor stimulus,15/488,133/11099,0.000731027507203843,0.00663013115002279,0.00447061394074594,Furin/Hif1a/Xbp1/Pmepa1/Ptp4a3/Rbpj/Skil/Cyr61/Itga3/Ptpn1/Vegfa/Dusp6/Il17f/Zeb1/Vsir,15
GO:0010035,response to inorganic substance,23/488,252/11099,0.000732731274450552,0.00663020035145187,0.0044706606023981,Bnip3/Glud1/CYTB/Ncf1/Prnp/Atp2b4/Egln1/Bcl2/Gart/Nr4a1/Cdkn1b/Ptk2b/Clic4/Tnfsf4/Add1/Cpne3/Nr4a2/Foxp1/Fn1/Gpx1/Tnf/Mapk3/Gatm,23
GO:0042594,response to starvation,13/488,106/11099,0.000739037926462235,0.00667182275875491,0.0044987260674886,Cdkn1a/Slc2a1/Xbp1/Cad/Bcl2/Mybbp1a/Eif2ak2/Eif4ebp1/Asns/Mapk3/Higd1a/Tnrc6a/Rragd,13
GO:0050878,regulation of body fluid levels,17/488,162/11099,0.000765664678480184,0.0068646404316033,0.00462874059612356,Scd1/Serpine2/Anxa2/Socs2/Hif1a/Mllt6/Fam46a/Ap3b1/Xbp1/Rab27a/Wnk1/Myl12b/Vegfa/Plek/Flna/Lbh/Stat5b,17
GO:0007050,cell cycle arrest,13/488,107/11099,0.000808369083130243,0.00714912838451611,0.00482056724019559,Trp53inp1/Cdkn1a/Mdm2/Mybbp1a/Map2k1/Skil/Ddias/Cdkn1b/Calr/Pidd1/Irf6/Inhba/Slfn1,13
GO:0001906,cell killing,10/488,69/11099,0.000811214723427325,0.00715810012161944,0.00482661676954264,Rnf19b/Ncf1/Rab27a/Ptprc/Fam49b/Cadm1/Sh2d1a/Stat5b/Pvr/H2-T23,10
GO:0042326,negative regulation of phosphorylation,27/488,320/11099,0.000888523627224653,0.00770119480891611,0.00519281867795666,Il2/Cdkn1a/Socs2/Ndrg2/Prnp/Lif/Pten/Xbp1/Cish/Atxn1/Stat3/Pmepa1/Ptprc/Bax/Arrb1/Cdkn1b/Prex1/Wnk1/Dusp4/Ptpn1/Thy1/Dusp6/Tardbp/Mical1/Irs2/Npm1/Slfn1,27
GO:0043542,endothelial cell migration,12/488,95/11099,0.00089839254806189,0.00775235423923604,0.00522731483756703,Pten/Ptp4a3/Nr4a1/Ets1/Ptk2b/Vegfa/Gpx1/Calr/Atp5a1/Sema4a/Itgb2/Hdac7,12
GO:0060402,calcium ion transport into cytosol,10/488,70/11099,0.000910043111150152,0.00775415911739101,0.00522853184417797,Ero1l/Prnp/Bcl2/Ptprc/Bax/Ptk2b/Thy1/Itpr1/Cacnb3/Cd4,10
GO:0009396,folic acid-containing compound biosynthetic process,4/488,11/11099,0.000951545813244664,0.00783072122941766,0.0052801567121654,Gart/Mthfd1l/Mthfd1/Mthfd2,4
GO:0033194,response to hydroperoxide,4/488,11/11099,0.000951545813244664,0.00783072122941766,0.0052801567121654,Trp53inp1/ND1/Ddias/Gpx1,4
GO:0060396,growth hormone receptor signaling pathway,4/488,11/11099,0.000951545813244664,0.00783072122941766,0.0052801567121654,Socs2/Stat3/Pik3r1/Stat5b,4
GO:0071378,cellular response to growth hormone stimulus,4/488,11/11099,0.000951545813244664,0.00783072122941766,0.0052801567121654,Socs2/Stat3/Pik3r1/Stat5b,4
GO:0016032,viral process,28/488,339/11099,0.000997449998872992,0.00808927810289321,0.00545449835592481,Bnip3/Bnip3l/Il2ra/Stat1/Trim30a/Ifi27l2a/Lgals1/Ccl4/Bcl2/Rxra/Serinc5/Ptprc/Eif2ak2/Ikbke/Samhd1/Tnfsf4/Trim25/Ddx21/Eea1/Oas3/Zc3hav1/Isg15/Spn/Stat2/Tardbp/Tnf/Vps37b/Cd4,28
GO:0016072,rRNA metabolic process,19/488,196/11099,0.00101822107228052,0.00822360779244738,0.00554507517396783,Utp20/Ncl/Heatr1/Ddx21/Top1/Pdcd11/Tsr1/Polr1a/Nop56/Rpl7l1/Wdr12/Nat10/Ftsj3/Utp4/Nol6/Npm1/Pwp2/Rpl35a/Nop2,19
GO:0002717,positive regulation of natural killer cell mediated immunity,5/488,19/11099,0.00112070959553945,0.00888611320276614,0.00599179422916789,Cadm1/Sh2d1a/Stat5b/Pvr/H2-T23,5
GO:0050673,epithelial cell proliferation,21/488,229/11099,0.00115754918988511,0.00915963518878726,0.00617622665986005,Stat1/Pten/Xbp1/Tnfsf11/Map2k1/Bax/Nr4a1/Cdkn1b/B4galt1/Vegfa/Wdr77/Foxp1/Gpx1/Tnf/Maged1/Atp5a1/Irf6/Runx3/Phb2/Npm1/Mki67,21
GO:0042267,natural killer cell mediated cytotoxicity,7/488,38/11099,0.00117217565722415,0.00923797307276049,0.00622904890850864,Rnf19b/Rab27a/Cadm1/Sh2d1a/Stat5b/Pvr/H2-T23,7
